,Song Name,BPM List
85,086_89_Dr_Meaker_–_Freaks_-ft_Cappo_D_and_Sharlene_Hector-,174.2
86,087_90_David_Bowie_–_Magic_Dance_-from_Labyrinth_OST-,105.84
87,088_91_GHOST_DATA_–_PROJEKT_MELODY_-ft_AL!CE-,120.0
88,089_92_Centimeter_-kanojo_okarishimasu_[Rental_Girlfriend]_op-,63.98
89,090_93_You_Are_Mine_ft_Kayliana_–_S3RL,175.0
90,091_94_Renai_Circulation_[227_Soundtrack]_–_Ayaka_Tachikawa,60.0
91,092_95_Fruit_Ninja_in_Beat_Saber!,156.58
92,093_96_Aurora_–_Synthion,87.49
93,094_97_Takahashi_Youko_–_A_Cruel_Angel’s_Thesis残酷な天使のテーゼ_–_Nightcore,147.22
94,095_98_JVNA_–_Catch_Me_-Chroma_RGB_lights-,151.01
95,096_99_Fleetwood_Mac_–_Hold_Me,128.84
96,097_100_Get_Up_–_Tokyo_Machine,128.06
97,098_101_MY_FIRST_STORY_–_1000000_TIMES_feat_chelly_-EGOIST-,99.98
98,099_102_🌠Starride🌠-_Mysteka,171.04
99,100_103_Hollowness_–_Minami,205.06
100,101_104_ROCK_in_the_USA_–_John_Mellencamp,80.17
101,102_105_The_Nights_–_Avicii,126.0
102,103_107_That’s_Life_–_Frank_Sinatra,75.57
103,104_108_Never_Gonna_Give_You_Up_-Well_Mapped+Timed_Version-,113.57
104,105_109_Everyday_–_Virtual_Riot,80.0
105,106_110_Fireflies_–_Owl_City,181.41
106,107_111_Portal_2_–_Turret_Opera__Cara_Mia_Addio,102.01
107,108_112_Kuchibairo_no_Oto,66.67
108,109_113_Kurenai_[Taiko_no_Tatsujin_Soundtrack]_–_X_Japan,67.99
109,110_114_You_Are_Mine_ft_Kayliana_–_S3RL,175.0
110,111_115_Renai_Circulation_[227_Soundtrack]_–_Ayaka_Tachikawa,60.0
111,112_116_Fruit_Ninja_in_Beat_Saber!,156.58
112,113_117_JVNA_–_Catch_Me_-Chroma_RGB_lights-,151.01
113,114_118_Fleetwood_Mac_–_Hold_Me,128.84
114,115_119_ANIMA_-TV_Size-_[Sword_Art_Online_Alicization_–_War_of_Underworld_Part_2_Opening]_–_ReoNa,193.52
115,116_120_Hollowness_–_Minami,205.06
116,117_121_дора_–_Дорадура_-Doradura-,222.29
117,118_122_Aether_and_Light,210.73
118,119_123_ハロハワユ_–_Hello_how_are_you_–_ナノウ_–_featHatsune_Miku,190.01
119,120_124_Moe_Shop_–_WWW_-feat_EDOGA-SULLIVAN-_VS_Map,135.37
120,121_125_Ayase__Last_Resort__Ft_Ado,124.08
121,122_126_Akiyama_Uni_–_Odoru_Mizushibuki__あきやま_うに_–_踊る水飛沫,140.1
122,123_128_Rameses_B_–_Children,175.02
123,124_129_The_Clash_–_Rock_the_Casbah,64.07
124,125_130_Jigsaw_Puzzle_–_mafumafu,172.07
125,126_131_DANCE!_VR_DANCE!_–_KurageP,106.62
126,127_132_Pegboard_Nerds_–_Rhythm_Is_A_Dancer_-ft_Tia_Simone-,127.99
127,128_133_The_Foundations_–_Build_Me_Up_Buttercup,215.33
128,129_134_Can’t_Take_My_Eyes_Off_Of_You_–_Frankie_Valli,125.01
129,130_135_Voice_-TV_Size-_[Chuunibyou_demo_Koi_ga_Shitai!_Ren_Opening]_–_ZAQ,125.0169
130,131_136_Boom_Clap_–_Charli_XCX,91.97
131,132_137_[Alphabeat_–_Pegboard_Nerds_Pack]_Pegboard_Nerds_–_Luigi’s_Mansion,147.98
132,133_138_Last_Of_Me_[Arknights_Soundtrack]_–_Steve_Aoki_ft_RUNN,63.99
133,134_139_kz-livetune_–_Tell_Your_World_–_feat_Hatsune_Miku,150.04
134,135_140_[Alphabeat_–_Pegboard_Nerds_Pack]_Pegboard_Nerds_–_Disconnected,124.3
135,136_141_[Alphabeat_–_Pegboard_Nerds_Pack]_Pegboard_Nerds_–_Gunslinga,174.06
136,137_142_Monster_[Arknights_Soundtrack]_–_Starset,194.98
137,138_143_Michael_Jackson_–_Off_the_Wall,115.86
138,139_144_ShinRa-Bansho__Maids_Heart_Is_A_Puppet_-Chroma_RGB-,127.26
139,140_145_Get_It_Right_–_Left_Boy,172.36
140,141_146_Apashe_–_I’m_A_Dragon_-ft_Sway-,145.0
141,142_148_Jackpot,206.02
142,143_149_Blinding_Lights_–_The_Weeknd,191.73
143,144_150_Everyday_–_Virtual_Riot,80.0
144,145_151_Rockefeller_Street_-EightOEight_Hardstyle_Remix-,163.01
145,146_152_Save_Us_From_Ourselves_[Arknights_Soundtrack]_–_Bear_Grillz_ft_Micah_Martin,74.94
146,147_153_I_want_You_반짝★반짝_Sunshine_DJMAX,82.5
147,148_154_Digital_Girl_–_KIRA,207.82
148,149_155_Ding_Dong_Song_–_Günther_and_The_Sunshine_Girls,132.0
149,150_156_Aoi_Haru,181.6
150,151_157_Tuesday_-feat_Danelle_Sandoval-__Burak_Yeter,99.0
151,152_158_Takin’_It_To_The_Streets_–_The_Doobie_Brothers,73.3
152,153_159_Nothing_For_Free_–_Pendulum,156.08
153,154_160_Aiobahn_and_Yunomi_feat_nicamoq_–_Makuramoto_ni_Ghost_Katomori_Remix,135.15
154,155_161_WINNER_–_REALLY_REALLY_-Japanese_vers-,102.99
155,156_162_Rick_Springfield_–_Jessie’s_Girl,66.82
156,157_163_Rita_–_DORCHADAS_[Shikkoku_no_Sharnoth_Opening],125.01
157,158_164_Girls’_Generation_-SNSD-_–_All_Night,65.0
158,159_165_Hacking_to_the_Gate_[iDOLM@STER_Soundtrack]_–_Ranko_Kanzaki,65.0069
159,160_166_Blind_Guardian_–_Road_of_No_Release,160.3
160,161_167_PSYQUI_–_Education,180.0
161,162_171_[Extra_Sensory]_Hayako_–_Analys,170.11
162,163_172_[FUTURE_FUNK_PACK]_Windy_Summer_-Night_Tempo_100_Pure_Remastered-,60.07
163,164_173_[FUTURE_FUNK_PACK]_Remember_Summer_Days_-MACROSS_82-99_Short_Ver-,111.01
164,165_174_EveryBody_-Shirakami_Fubuki,107.26
165,166_175_Windows_XP_Startup,202.54
166,167_176_Seven_Lions_–_Silent_Skies_-ft_Karra-__[Chroma_RGB],140.0
167,168_177_cYsmix_–_Peer_Gynt_-Chroma_20-,139.64
168,169_178_Blossom_–_Synthion,175.0
169,170_179_Give_Me_a_Nightmare_–_Alice_Schach_and_the_Magic_Orchestra,190.46
170,171_180_Chili_Corn_Carne_–_The_Real_Group,184.48
171,172_181_Kodachrome_–_Paul_Simon_[Chroma],135.31
172,173_182_[FUTURE_FUNK_PACK]_Disco_Lady_–_Nanidato,128.4
173,174_183_[FUTURE_FUNK_PACK]_Shiawase_No_Monosashi_-VANTAGE__Short_Ver-,128.0
174,175_184_Bohemian_Rhapsody_–_Queen,204.22
175,176_185_kanaria_–_KING,166.0
176,177_186_Ventura_Highway_–_America,88.95
177,178_187_Boulevard_of_Broken_Dreams_-Nightcore-,203.24
178,179_188_Laur_–_Metamorphose,159.99
179,180_189_Azazal_and_Said_–_I_Said_Meow,99.61
180,181_190_Trifect_–_Neverland_-Short_Ver-,127.0
181,182_192_Geoxor_–_Gloom_[Wallmap]_V2,182.44
182,183_193_[FUTURE_FUNK_PACK]_Shiawase_No_Monosashi_-VANTAGE__Short_Ver-,128.0
183,184_194_[FUTURE_FUNK_PACK]_You_Look_So_Good_–_Moe_Shop,114.95
184,185_195_[FUTURE_FUNK_PACK]_Idolstep_Dreaming_–_Mikazuki_BIGWAVE,104.95
185,186_196_[FUTURE_FUNK_PACK]_September_–_Tenma_Tenma,111.12
186,187_197_Elektronomia_–_Summer_Vibes,105.0
187,188_198_Skrillex_–_Fuji_Opener_-Virtual_Riot_and_Xomega_Remix-,149.84
188,189_199_[FUTURE_FUNK_PACK]_Megumi_no_Hito_-Night_Tempo_Showa_Groove_Mix-,123.99
189,190_200_Twice_–_LIKEY,131.86
190,191_201_Starlight_–_B3LLA_-feat_Reichuu-,164.99
191,192_202_Laur_–_Metamorphose,159.99
192,193_203_Don’t_Stop_–_KUURO,89.82
193,194_204_[Extra_Sensory]_LeaF_–_Doppelganger,140.0
194,195_205_City_Lights_-somunia_nyankobrq_Remix-,130.99
195,196_206_Coffin_Dance_-Camellia_Remix-,225.92
196,197_207_Knife_Party_–_Bonfire,89.12
197,198_208_[FUTURE_FUNK_PACK]_Tokyo_Chopp_ft_Shiki-TMNS-_-Moe_Shop_Remix-,116.59
198,199_209_Precious_Summer_!,204.4
199,200_210_Dream_X_Scramble,204.4069
200,201_211_DenporuP_–_World_on_Color_–_feat_Hatsune_Miku,119.86
201,202_213_The_Spectre_–_Wallmap,127.94
202,203_215_KDA_–_THE_BADDEST_ft_-G-I-DLE_Bea_Miller_Wolftyla,127.9469
203,204_216_yasuoP_–_Electric_Angelえれくとりっく・えんじぇぅ_–_Kagamine_Rin_Kagamine_Ren_–_ArrangeCover_【Wall_Map】-Fixed-,149.6
204,205_217_THE_BADDEST_-ft_-G-I-DLE_Bea_Miller_Wolftyla-_–_KDA,149.6069
205,206_218_Gonna_Get_Funky_–_GRiZ,124.0
206,207_219_Lost_It_–_Virtual_Riot_ft_Pearl_Andersson,149.96
207,208_220_[Jubeat]_ぺのれり-_Fairy_Fair_[WallMap],149.9669
208,209_221_Danny_Elfman_–_This_Is_Halloween,95.92
209,210_222_Donkey_Donk_–_Ryu☆,154.99
210,211_223_Kobaryo_–_Theme_for_Psychopath_Justice,183.03
211,212_224_164_–_天ノ弱_featGUMI【BEGINNER】,200.45
212,213_225_DECO27_–_Ghost_Rule_feat_Hatsune_Miku【BEGINNER】,209.95
213,214_227_DECO27_–_HIBANA_feat_Hatsune_Miku【BEGINNER】,200.0
214,215_228_Highway_to_Hell_–_ACDC,114.62
215,216_229_Hirahashi_Book_Store_–_Network_【Wall_Map】-Fixed-,142.99
216,217_230_Boogie_Back_[Dragon_Ball_Super_8th_Ending]_–_Miyu_Inoue,128.0
217,218_231_MARETU_–_Venom_-MARETU_Remix-,101.33
218,219_232_Vengaboys_–_Boom_Boom_Boom_Boom!!_-Prezioso_Alyon_and_Mylian_Bootleg-,154.99
